mode,params,li_mom_months,li_mom_min_in_window,de_hold_months,wang_dist_pct,wang_ratio_min,miao_leading_months,review_cap_months,stage,n,assets,n_1m,mean_1m,win_1m,n_3m,mean_3m,win_3m,n_6m,mean_6m,win_6m
us_gics,li2win2_de1_wang70r101.0_miao8,2,2,1,0.7,101.0,8,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang70r101.0_miao8,2,2,1,0.7,101.0,8,12,旺,748,11,745,0.00014270633501286176,0.5181208053691275,741,0.0004424005415791581,0.5182186234817814,737,0.004040200615202145,0.5128900949796472
us_gics,li2win2_de1_wang70r101.0_miao8,2,2,1,0.7,101.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de1_wang70r102.0_miao4,2,2,1,0.7,102.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang70r102.0_miao4,2,2,1,0.7,102.0,4,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang70r102.0_miao4,2,2,1,0.7,102.0,4,12,旺,740,11,737,0.00038000593346655394,0.5210312075983717,733,0.00034231165739062564,0.5184174624829468,729,0.003971336295903309,0.51440329218107
us_gics,li2win2_de1_wang70r102.0_miao4,2,2,1,0.7,102.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de1_wang70r102.0_miao6,2,2,1,0.7,102.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang70r102.0_miao6,2,2,1,0.7,102.0,6,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang70r102.0_miao6,2,2,1,0.7,102.0,6,12,旺,740,11,737,0.00038000593346655394,0.5210312075983717,733,0.00034231165739062564,0.5184174624829468,729,0.003971336295903309,0.51440329218107
us_gics,li2win2_de1_wang70r102.0_miao6,2,2,1,0.7,102.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de1_wang70r102.0_miao8,2,2,1,0.7,102.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang70r102.0_miao8,2,2,1,0.7,102.0,8,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang70r102.0_miao8,2,2,1,0.7,102.0,8,12,旺,740,11,737,0.00038000593346655394,0.5210312075983717,733,0.00034231165739062564,0.5184174624829468,729,0.003971336295903309,0.51440329218107
us_gics,li2win2_de1_wang70r102.0_miao8,2,2,1,0.7,102.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de1_wang75r101.0_miao4,2,2,1,0.75,101.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r101.0_miao4,2,2,1,0.75,101.0,4,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r101.0_miao4,2,2,1,0.75,101.0,4,12,旺,747,11,744,0.00016065978530142071,0.5188172043010753,740,0.00048670681842709286,0.518918918918919,736,0.004069989994486376,0.5135869565217391
us_gics,li2win2_de1_wang75r101.0_miao4,2,2,1,0.75,101.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de1_wang75r101.0_miao6,2,2,1,0.75,101.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r101.0_miao6,2,2,1,0.75,101.0,6,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r101.0_miao6,2,2,1,0.75,101.0,6,12,旺,747,11,744,0.00016065978530142071,0.5188172043010753,740,0.00048670681842709286,0.518918918918919,736,0.004069989994486376,0.5135869565217391
us_gics,li2win2_de1_wang75r101.0_miao6,2,2,1,0.75,101.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de1_wang75r101.0_miao8,2,2,1,0.75,101.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r101.0_miao8,2,2,1,0.75,101.0,8,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r101.0_miao8,2,2,1,0.75,101.0,8,12,旺,747,11,744,0.00016065978530142071,0.5188172043010753,740,0.00048670681842709286,0.518918918918919,736,0.004069989994486376,0.5135869565217391
us_gics,li2win2_de1_wang75r101.0_miao8,2,2,1,0.75,101.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de1_wang75r102.0_miao4,2,2,1,0.75,102.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r102.0_miao4,2,2,1,0.75,102.0,4,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r102.0_miao4,2,2,1,0.75,102.0,4,12,旺,738,11,735,0.00035173212687349045,0.5210884353741496,731,0.0003242356819751731,0.518467852257182,727,0.0039108028210928705,0.5144429160935351
us_gics,li2win2_de1_wang75r102.0_miao4,2,2,1,0.75,102.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,旺,738,11,735,0.00035173212687349045,0.5210884353741496,731,0.0003242356819751731,0.518467852257182,727,0.0039108028210928705,0.5144429160935351
us_gics,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,得,86,11,86,-0.0005960958314099777,0.5,86,0.004399203183152262,0.5348837209302325,85,-0.0018998240641240679,0.47058823529411764
us_gics,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,旺,738,11,735,0.00035173212687349045,0.5210884353741496,731,0.0003242356819751731,0.518467852257182,727,0.0039108028210928705,0.5144429160935351
us_gics,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
us_gics,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
us_gics,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
us_gics,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,旺,730,11,727,0.00043240048550197754,0.5199449793672627,723,-0.0003278730850315378,0.5131396957123098,719,0.003579137851126678,0.5132127955493742
us_gics,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,旺,730,11,727,0.00043240048550197754,0.5199449793672627,723,-0.0003278730850315378,0.5131396957123098,719,0.003579137851126678,0.5132127955493742
us_gics,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,旺,730,11,727,0.00043240048550197754,0.5199449793672627,723,-0.0003278730850315378,0.5131396957123098,719,0.003579137851126678,0.5132127955493742
us_gics,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,庙,41,10,41,-0.0027196717500202337,0.4634146341463415,41,-0.0053707745680113776,0.4634146341463415,41,-0.0024912518674621,0.4146341463414634
us_gics,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
us_gics,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,庙,399,11,397,0.0001769630720289465,0.5062972292191436,395,0.0002950910740654864,0.5164556962025316,395,0.005623176673665292,0.5139240506329114
us_gics,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
us_gics,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,庙,191,11,191,-9.293076184533163e-05,0.5287958115183246,191,-0.000319731630051264,0.4816753926701571,191,0.006607227495084312,0.518324607329843
us_gics,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,利,1129,11,1126,-0.0008247769281033756,0.4769094138543517,1116,-0.0023461334526301827,0.47043010752688175,1102,-0.002266990044430761,0.4882032667876588
us_gics,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,得,82,11,82,0.0010901011156744156,0.573170731707317,82,-0.001121393143041864,0.4634146341463415,81,0.005261850173084403,0.5308641975308642
us_gics,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,旺,738,11,735,0.00019130204024444847,0.5170068027210885,731,-0.00021908055271542353,0.5129958960328317,727,0.003653265211348762,0.5116918844566712
